name,province,province_name,website,software,category,final_url,error
Markovs Aquatic Swimming Club,ON,Ontario,https://markovaquatics.com,WordPress,CMS / Website builder,https://markovaquatics.com/,
Mississauga Aquatic Club,ON,Ontario,https://mississaugaswimming.com,GoMotion,Swim-specific,https://www.gomotionapp.com/team/onmac/page/home,
Northumberland Aquatic Club,ON,Ontario,,No Website,No Website,,
Niki Swimming School,ON,Ontario,,No Website,No Website,,
New Stars Swimming Club,ON,Ontario,https://www.newstarsswimmingclub.com/page/home,GoMotion,Swim-specific,https://www.newstarsswimmingclub.com/page/home,
North York Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/cannyac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cannyac/page/home,
Oakville Aquatic Club,ON,Ontario,https://www.oakvilleaquatics.ca,GoMotion,Swim-specific,https://www.oakvilleaquatics.ca/page/home,
Officials Registration ON,ON,Ontario,,No Website,No Website,,
Oshawa Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/canoac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canoac/page/home,
Pickering Swim Club,ON,Ontario,https://www.pickswimclub.com,Error,Error,https://www.pickswimclub.com,"HTTPConnectionPool(host='www.teamunify.com', port=80): Read timed out. (read timeout=12)"
Ramac Aquatic Club,ON,Ontario,https://ramac.ca,Unknown / Custom,Unknown / Custom,https://ramac.ca/,
Richmond Hill Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/canrhac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canrhac/page/home,
Swimming Dragons,ON,Ontario,https://www.swimmingdragons.ca,Error,Error,https://www.swimmingdragons.ca,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Clarington Swim Club,,,https://claringtonswimclub.org,GoMotion,Swim-specific,https://www.claringtonswimclub.org/page/home,
The Dorado Stars Swim Club,ON,Ontario,https://doradoswimclub.ca,GoMotion,Swim-specific,https://www.doradoswimclub.ca/page/home,
Toronto Olympian Swim Team,ON,Ontario,https://www.torchswim.com,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canops/page/home,
Toronto Swim Club,ON,Ontario,https://www.torontoswimclub.com,Unknown / Custom,Unknown / Custom,https://www.torontoswimclub.com/,
Uxbridge Swim Club,ON,Ontario,https://www.gomotionapp.com/team/canusc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canusc/page/home,
Vaughan Aquatic Club,ON,Ontario,https://vaughanaquaticclub.com,WordPress,CMS / Website builder,https://vaughanaquaticclub.com/,
Variety Village Aquatic Club,ON,Ontario,,No Website,No Website,,
Whitby Swimming,ON,Ontario,https://www.gomotionapp.com/team/canwdsc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canwdsc/page/home,
York Swim Club,ON,Ontario,https://www.yorkswimclub.ca,GoMotion,Swim-specific,https://www.yorkswimclub.ca/page/home,
Arnprior Blue Fish Swim Club,ON,Ontario,https://www.arnpriorbluefish.net,Google Sites,CMS / Website builder,https://www.arnpriorbluefish.net/,
Belleville Beast Swim Team,ON,Ontario,https://bellevilleswimming.ca,Squarespace,CMS / Website builder,https://bellevilleswimming.ca/,
Cornwall Sea Lions,ON,Ontario,https://www.cornwallsealions.ca,Unknown / Custom,Unknown / Custom,https://www.cornwallsealions.ca/,
Deep River Candu,ON,Ontario,,No Website,No Website,,
Greater Ottawa Kingfish Swim Club,ON,Ontario,https://gokingfish.ca,Error,Error,https://gokingfish.ca,"HTTPSConnectionPool(host='gokingfish.ca', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='gokingfish.ca', port=443) at 0x1fe55119e50>, 'Connection to gokingfish.ca timed out. (connect timeout=12)'))"
Goulbourn Sea Hawks,ON,Ontario,https://www.swimgsh.ca,GoMotion,Swim-specific,https://www.swimgsh.ca/page/home,
Nepean Kanata Barracudas,ON,Ontario,https://www.gomotionapp.com/team/cannkb/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cannkb/page/home,
Hawkesbury Orca,ON,Ontario,,No Website,No Website,,
Ottawa Swim Club,ON,Ontario,https://www.ottawaswimclub.ca,WordPress,CMS / Website builder,https://ottawaswimclub.ca/,
Ottawa Y Olympians,ON,Ontario,https://www.oyoswim.ca,Unknown / Custom,Unknown / Custom,https://www.oyoswim.ca/,
Perth Stingrays Aquatic Club,ON,Ontario,http://www.perthstingrays.com,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canpsac/page/home,
ROC Swimming,ON,Ontario,https://www.gomotionapp.com/team/canrocs/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canrocs/page/home,
Swim Ottawa,ON,Ontario,https://www.swimottawa.ca,PoolQ,Swim-specific,https://www.swimottawa.ca/,
Upper Canada Swim Club,ON,Ontario,https://riverotters.ca,Active Network,Sports management,https://riverotters.ca/,
Breakers Swim Team,ON,Ontario,https://www.breakersswimteam.com,PoolQ,Swim-specific,https://www.breakersswimteam.com/,
Barrie Trojan Swim Club,ON,Ontario,https://www.barrieswimming.ca,GoMotion,Swim-specific,https://www.barrieswimming.ca/page/home,
Orillia Channel Cats,ON,Ontario,,No Website,No Website,,
Lindsay Lightningbolts Swim Club,ON,Ontario,https://www.lindsaylightningbolts.com,PoolQ,Swim-specific,https://www.lindsaylightningbolts.com/,
Muskoka Aquatic Club,ON,Ontario,,No Website,No Website,,
Owen Sound Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/canosac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canosac/page/home,
Peterborough Swim Club,ON,Ontario,https://www.ptboswimclub.com,GoMotion,Swim-specific,https://www.ptboswimclub.com/page/home,
Cochrane Great Whites,ON,Ontario,,No Website,No Website,,
Kapswim,ON,Ontario,,No Website,No Website,,
Kirkland Lake Aquatic Club,ON,Ontario,https://www.klacstingrays.com,Wix,CMS / Website builder,https://www.klacstingrays.com/,
North Bay Y Titans,ON,Ontario,https://www.gomotionapp.com/team/cannbt/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cannbt/page/home,
SUDBURY LAURENTIAN SWIM CLUB,ON,Ontario,https://www.sudburyswimming.ca,PoolQ,Swim-specific,https://www.sudburyswimming.ca/,
Sault Surge Aquatic Team,,,https://www.gomotionapp.com/team/cannsac/page/home,GoMotion,Swim-specific,https://www.saultsurge.com/page/home,
Temiskaming Northern Loons,ON,Ontario,https://www.tnlswim.com/coaches,Wix,CMS / Website builder,https://www.tnlswim.com/coaches,
Valley East Waves,ON,Ontario,https://www.gomotionapp.com/team/canvew/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canvew/page/home,
Dryden Dolphins,ON,Ontario,https://sites.google.com/view/dryden-dolphins-swim-club/home,Google Sites,CMS / Website builder,https://sites.google.com/view/dryden-dolphins-swim-club/home,
Nakokita Aquatic Club,ON,Ontario,https://www.keeta.ca,Error,Error,https://www.keeta.ca,"HTTPSConnectionPool(host='www.keeta.ca', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.keeta.ca', port=443) at 0x1fe5511a710>, 'Connection to www.keeta.ca timed out. (connect timeout=12)'))"
Kenora Swimming,ON,Ontario,https://www.kenoraswimming.ca/home,Google Sites,CMS / Website builder,https://www.kenoraswimming.ca/home,
Thunder Bay Thunderbolts,ON,Ontario,https://www.gomotionapp.com/team/cantbt/page/home,GoMotion,Swim-specific,https://www.thunderbolts.ca/page/home,
University Of Toronto,ON,Ontario,https://www.varsityblues.ca/sports/swimming,Sidearm Sports,Sports management,https://varsityblues.ca/sports/swimming,
Wilfrid Laurier University,ON,Ontario,,No Website,No Website,,
York University,ON,Ontario,https://yorkulions.ca,Sidearm Sports,Sports management,https://yorkulions.ca/,
Aylmer Optimist Arrows,ON,Ontario,,No Website,No Website,,
Burlington Aquatic Devilrays,ON,Ontario,https://www.gomotionapp.com/team/canbad/page/home,GoMotion,Swim-specific,https://www.burlingtondevilrays.ca/page/home,
Blenheim Blast,ON,Ontario,,No Website,No Website,,
Brock Niagara Aquatics,ON,Ontario,https://www.bing.com/search?pglt=41&q=brock+niagara+aquatics&cvid=bc1a91ad5d7e40278fb9ee3d43f7576d&gs_lcrp=EgZjaHJvbWUqBggBEAAYQDIGCAAQRRg5MgYIARAAGEAyBggCEAAYQDIGCAMQABhA0gEINzUyMGowajGoAgCwAgA&FORM=,No Website,No Website,https://www.bing.com/search?pglt=41&q=brock+niagara+aquatics&cvid=bc1a91ad5d7e40278fb9ee3d43f7576d&gs_lcrp=EgZjaHJvbWUqBggBEAAYQDIGCAAQRRg5MgYIARAAGEAyBggCEAAYQDIGCAMQABhA0gEINzUyMGowajGoAgCwAgA&FORM=,
Cambridge Aquajets,,,https://www.cambridgeaquajets.com,Unknown / Custom,Unknown / Custom,https://www.cambridgeaquajets.com/,
Golden Horseshoe Aquatic Club,ON,Ontario,https://www.ghacswimming.ca,Error,Error,https://www.ghacswimming.ca,"HTTPSConnectionPool(host='www.ghacswimming.ca', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.ghacswimming.ca', port=443) at 0x1fe5511a710>, 'Connection to www.ghacswimming.ca timed out. (connect timeout=12)'))"
Ingersoll Speed Sharks,ON,Ontario,https://www.ingersollspeedsharks.com,Error,Error,https://www.ingersollspeedsharks.com,"HTTPSConnectionPool(host='www.ingersollspeedsharks.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.ingersollspeedsharks.com', port=443) at 0x1fe5511ae90>, 'Connection to www.ingersollspeedsharks.com timed out. (connect timeout=12)'))"
Killer Whale Swim Team,ON,Ontario,https://www.kwstlondon.ca,WordPress,CMS / Website builder,https://kwstlondon.ca/,
London Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/canlac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canlac/page/home,
Middlesex Swimming,ON,Ontario,https://www.gomotionapp.com/team/canms/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canms/page/home,
Norfolk Hammerheads Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/cannhac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cannhac/page/home,
St. Clair Current Swim Club,ON,Ontario,https://www.gomotionapp.com/team/canscc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canscc/page/home,
St Thomas Jumbo Jets,ON,Ontario,,No Website,No Website,,
Wilmot Aquatic Aces,ON,Ontario,,No Website,No Website,,
Windsor Aquatic Club,ON,Ontario,https://www.windsoraquatic.com,Unknown / Custom,Unknown / Custom,https://www.windsoraquatic.com/,
CADAC Les Dauphins de Rouyn-Noranda,QC,Quebec,,No Website,No Website,,
RSEQ - Cégep de l'Abitibi-Témiscamingue,QC,Quebec,https://www.cegepat.qc.ca/etudiants/astrelles-et-gaillards,WordPress,CMS / Website builder,https://www.cegepat.qc.ca/etudiants/astrelles-et-gaillards/,
CAEM Club Aquatique de l'Est de Montréal,QC,Quebec,https://caem.club,Amilia,Swim-specific,https://caem.club/,
CAFA Club aquatique Fouiqs Anjou,,,,No Website,No Website,,
CAMO CAMO Natation,QC,Quebec,,No Website,No Website,,
CAPI Club aquatique de la Pointe de l'Ile,QC,Quebec,https://destinationaquatique.org/club-competitif,WordPress,CMS / Website builder,https://destinationaquatique.org/club-competitif/,
CAPN Club aquatique Les Piranhas du Nord,QC,Quebec,https://www.clubcapn.com,Amilia,Swim-specific,https://www.clubcapn.com/,
CASM Club Aquatique Saint-Michel,QC,Quebec,,No Website,No Website,,
CASO Club Aquatique du Sud-Ouest,QC,Quebec,https://caso-montreal.com/competition-natation,WordPress,CMS / Website builder,https://wordpress.com/typo/?subdomain=caso-montreal,
CDNDG Club aquatique Côte-des-Neiges-Notre-Dame-de-Grâce,QC,Quebec,,No Website,No Website,,
CNMN Club de natation Montréal-Nord,QC,Quebec,https://natationmontrealnord.ca,Wix,CMS / Website builder,https://www.natationmontrealnord.ca/,
MACC Maîtres à Contre-Courant,QC,Quebec,https://acontrecourant.qc.ca,WordPress,CMS / Website builder,https://acontrecourant.qc.ca/en/,
RSEQ - McGill McGill University,QC,Quebec,https://www.mcgill.ca/athletics,Sidearm Sports,Sports management,https://mcgillathletics.ca/,
MUMS McGill Masters,QC,Quebec,https://recreation.mcgill.ca/sports-clubs/masters-swim-mums-2022,Webflow,CMS / Website builder,https://recreation.mcgill.ca/sports-clubs/masters-swim-mums-2022,
R2P Club aquatique Rosemont Petite-Patrie,QC,Quebec,https://clubaquatiquerpp.com,Amilia,Swim-specific,https://clubaquatiquerpp.com/,
RSEQ - Collège Bois-de-Boulogne,QC,Quebec,,No Website,No Website,,
RSEQ - Collège de Maisonneuve,QC,Quebec,https://www.cmaisonneuve.qc.ca,WordPress,CMS / Website builder,https://www.cmaisonneuve.qc.ca/,
RSEQ - Cégep Marie-Victorin,QC,Quebec,,No Website,No Website,,
RSEQ - UDEM Université de Montréal,QC,Quebec,https://carabins.umontreal.ca/les-carabins/honneurs,WordPress,CMS / Website builder,https://carabins.umontreal.ca/les-carabins/honneurs/,
CARE Club aquatique régional de l'Érable,QC,Quebec,,No Website,No Website,,
CNBF Club de natation des Bois-Francs,QC,Quebec,,No Website,No Website,,
CNSH Club de natation de St-Hyacinthe,QC,Quebec,https://www.cnshnatation.com/accueil.aspx,Quebec Custom Site,Quebec Custom Site,https://www.cnshnatation.com/accueil.aspx,
ENC Équipe de natation Cowansville,QC,Quebec,https://www.encowansville.ca,Quebec Custom Site,Quebec Custom Site,https://www.encowansville.ca/,
LLOU Club de natation Les Loutres,QC,Quebec,https://www.lesloutres.com,Quebec Custom Site,Quebec Custom Site,https://www.lesloutres.com/,
RED Club de natation Les Requins de Drummondville,QC,Quebec,,No Website,No Website,,
SHER Club de natation Sherbrooke,QC,Quebec,,No Website,No Website,,
STN Sorel-Tracy Natation,QC,Quebec,https://soreltracynatation.com,WordPress,CMS / Website builder,https://soreltracynatation.com/,
RSEQ - Cégep de Drummondville,QC,Quebec,https://www.cegepdrummond.ca/devenir-voltigeurs,WordPress,CMS / Website builder,https://www.cegepdrummond.ca/devenir-voltigeurs/,
RSEQ - Cégep de Victoriaville,QC,Quebec,,No Website,No Website,,
CNSI Club de natation Sept-Iles,QC,Quebec,https://www.cnsi-natation.ca,Quebec Custom Site,Quebec Custom Site,https://www.cnsi-natation.ca/,
LBDF Le Boréal de Fermont,QC,Quebec,,No Website,No Website,,
BG Barracudas Gaspé,QC,Quebec,http://www.barracudas.ca,Google Sites,CMS / Website builder,https://www.barracudas.ca/,
CENIM Club Élite de natation des Iles-de-la-Madeleine,QC,Quebec,,No Website,No Website,,
CNM Club de natation Nautilus de Matane,QC,Quebec,https://www.cnmatane.org,WordPress,CMS / Website builder,https://www.cnmatane.org/,
EMJ Club de natation Les Espadons de Mont-Joli,QC,Quebec,https://app2.sygaction.com/emj,Amilia,Swim-specific,https://app2.sygaction.com/emj/,
LSNR Club de natation Les Saumoneaux de New Richmond,QC,Quebec,,No Website,No Website,,
OP Club de Natation Opti-Plus,QC,Quebec,https://www.natationop.com,WordPress,CMS / Website builder,https://natationop.com/,
RIKI Club de natation les Dauphins de Rimouski,QC,Quebec,https://www.dauphinsrimouski.com,Wix,CMS / Website builder,https://www.dauphinsrimouski.com/,
RSEQ - Cégep de Rimouski,QC,Quebec,https://www.sportsrimouski.com,Amilia,Swim-specific,https://www.sportsrimouski.com/,
RSEQ - UOTT University Of Ottawa,ON,Ontario,https://teams.geegees.ca/sports/swim/index,Presto Sports,Sports management,https://teams.geegees.ca/sports/swim/index,
BBF Beaconsfield Bluefins,QC,Quebec,https://www.bluefins.ca,Amilia,Swim-specific,https://www.bluefins.ca/,
CNSL Club de natation Saint-Laurent,QC,Quebec,https://clubcnsl.com,Error,Error,https://clubcnsl.com,"HTTPSConnectionPool(host='clubcnsl.com', port=443): Read timed out. (read timeout=12)"
CSLA Côte St-Luc Aquatics swim team,QC,Quebec,https://swimteamcotesaintlucaquatics.com,WordPress,CMS / Website builder,https://swimteamcotesaintlucaquatics.com/,
DDO Club de natation Dollard-Des-Ormeaux,QC,Quebec,https://www.ddoswim.com,Quebec Custom Site,Quebec Custom Site,https://www.ddoswim.com/,
MPC Maîtres-Nageurs de Pointe-Claire,,,,No Website,No Website,,
PCSC Pointe-Claire Swim Club,QC,Quebec,https://www.gomotionapp.com/team/canqccapc/page/club-page,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canqccapc/page/club-page,
WYMN Westmount YMCA Maitres Nageurs,QC,Quebec,,No Website,No Website,,
CAMI - Centre aquatique de Mascouche,QC,Quebec,https://centreaquatiquemascouche.com,Amilia,Swim-specific,https://centreaquatiquemascouche.com/,
CNML Club de natation Mont-Laurier,QC,Quebec,,No Website,No Website,,
CNMT Club de natation Mont-Tremblant,QC,Quebec,https://www.natationmont-tremblant.com,Wix,CMS / Website builder,https://www.natationmont-tremblant.com/,
GAMIN Groupe aquatique Mille-Iles Nord,QC,Quebec,https://www.gaminnatation.org,WordPress,CMS / Website builder,https://www.gaminnatation.org/,
JET Joliette Équipe Triathlon,QC,Quebec,https://triathlonjoliette.com/le-club-jet-triathlon,Amilia,Swim-specific,https://triathlonjoliette.com/le-club-jet-triathlon/,
LAVAL Équipe Aquatique Unifiée EAU Laval,,,,No Website,No Website,,
MEGO Club de natation Mégophias de Trois-Rivières,QC,Quebec,https://megophias.com,Quebec Custom Site,Quebec Custom Site,https://megophias.com/,
RSEQ - UQTR Université du Québec à Trois-Rivières,QC,Quebec,https://oraprdnt.uqtr.uquebec.ca/portail/gscw031?owa_no_site=133,University / Institution,University / Institution,https://oraprdnt.uqtr.uquebec.ca/portail/gscw031?owa_no_site=133,
RSEQ - Cégep de St-Jérôme,QC,Quebec,https://www.cstj.qc.ca,WordPress,CMS / Website builder,https://www.cstj.qc.ca/,
RSEQ - Cégep de Shawinigan,QC,Quebec,https://www.cegepshawinigan.ca/futurs-etudiants/vie-sportive/les-electriks,WordPress,CMS / Website builder,https://www.cegepshawinigan.ca/futurs-etudiants/vie-sportive/les-electriks/,
RSEQ - Cégep de Trois-Rivières,QC,Quebec,https://www.cegeptr.qc.ca/etudiants/diablos,WordPress,CMS / Website builder,https://www.cegeptr.qc.ca/etudiants/diablos/,
NG Natation Gatineau,QC,Quebec,https://www.natationgatineau.ca,Amilia,Swim-specific,https://natationgatineau.ca/,
CAC Club Aquatique de Charlesbourg,QC,Quebec,https://www.natationcac.com,Quebec Custom Site,Quebec Custom Site,https://www.natationcac.com/,
MNC Maitres nageurs de la Capitale,QC,Quebec,https://www.mnc-qc.ca,Quebec Custom Site,Quebec Custom Site,https://www.mnc-qc.ca/,
CNQ Club de natation Région de Québec,QC,Quebec,https://cnq.club,Quebec Custom Site,Quebec Custom Site,https://cnq.club/,
CNRB Club de natation Régional de Beauce,QC,Quebec,,No Website,No Website,,
MY Club de natation de Montmagny,QC,Quebec,https://natationmontmagny.com,Quebec Custom Site,Quebec Custom Site,https://natationmontmagny.com/,
RL Club de natation Les Riverains de Lévis,QC,Quebec,https://www.lesriverainslevis.com,Amilia,Swim-specific,https://www.lesriverainslevis.com/,
RSEQ - Cégep Garneau,QC,Quebec,https://gogarneau.ca,WordPress,CMS / Website builder,https://gogarneau.ca/,
RSEQ - Cégep de Saint-Félicien,QC,Quebec,https://cegepstfe.ca,University / Institution,University / Institution,https://cegepstfe.ca/,
RSEQ - Cégep de Thetford,QC,Quebec,https://www.lesfilons.ca,WordPress,CMS / Website builder,https://www.cegepthetford.ca/filons/calendrier-des-matchs-et-webdiffusion/,
UL Club de natation Rouge et Or/Université Laval,QC,Quebec,https://www.rougeetornatation.com/fr,University / Institution,University / Institution,https://www.rougeetornatation.com/fr,
UNIK Unik Pont-Rouge,QC,Quebec,,No Website,No Website,,
CAHB Club aquatique de la Haute-Beauce,QC,Quebec,,No Website,No Website,,
NSH Club de natation Sainte-Foy Haute-Saint-Charles,QC,Quebec,https://natation-nsh.com,WordPress,CMS / Website builder,https://natation-nsh.com/,
BRO La Vague de Brossard,QC,Quebec,https://vaguedebrossard.com,WordPress,CMS / Website builder,https://vaguedebrossard.com/,
CAS Club aquatique Salaberry,QC,Quebec,,No Website,No Website,,
CARO Club aquatique du Roussillon,QC,Quebec,,No Website,No Website,,
CITA Club de natation Les Citadins de Vaudreuil,QC,Quebec,https://www.lescitadinsnatation.com,WordPress,CMS / Website builder,https://www.lescitadinsnatation.com/fr/,
CNC Club de natation Chambly,QC,Quebec,https://www.natationcnc.ca,Wix,CMS / Website builder,https://www.natationcnc.ca/,
MUST Club de natation Mustang Boucherville,QC,Quebec,https://cnmustang.com,WordPress,CMS / Website builder,https://cnmustang.com/,
Club de natation SAMAK,,,https://Natation-samak.org,Unknown / Custom,Unknown / Custom,https://natation-samak.org/,
VELOX Natation,QC,Quebec,https://clubvelox.ca,WordPress,CMS / Website builder,https://clubvelox.ca/,
CNCC Club de natation Chibougamau-Chapais,QC,Quebec,,No Website,No Website,,
CNDM Club de natation de Dolbeau-Mistassini,QC,Quebec,https://www.cndolbeaumistassini.com,Wix,CMS / Website builder,https://www.cndolbeaumistassini.com/,
GAMI Gami de Roberval,QC,Quebec,,No Website,No Website,,
RSEQ - Cégep de Jonquière,QC,Quebec,,No Website,No Website,,
Brandon Bluefins Swim Club,MB,Manitoba,https://brandonbluefins.com,WordPress,CMS / Website builder,https://brandonbluefins.com/,
Central Plains Sea Lions,MB,Manitoba,,No Website,No Website,,
Dolphins Swim Club,MB,Manitoba,https://www.dolphinsswimclubmb.ca,Active Network,Sports management,https://www.dolphinsswimclubmb.ca/,
Manta Swim Club,MB,Manitoba,https://www.mantaswimming.ca,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canmbmsc/page/home,
Manitoba Marlins,MB,Manitoba,https://www.gomotionapp.com/team/mbmm/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/mbmm/page/home,
Para Storm Swim Club,MB,Manitoba,https://parastormswimming.ca,Unknown / Custom,Unknown / Custom,http://parastormswimclub.ca,
St. James Seals Swim Club,MB,Manitoba,https://www.gomotionapp.com/team/cansjssc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cansjssc/page/home,
Steinbach Skimmers Swim Club,MB,Manitoba,https://steinbachskimmers.com,WordPress,CMS / Website builder,https://steinbachskimmers.com/,
Swimming Rockers Club,MB,Manitoba,https://www.winnipeg.swimrockers.ca,WordPress,CMS / Website builder,https://winnipeg.swimrockers.ca/,
The Pas Roadrunners,MB,Manitoba,https://tproadrunners.wixsite.com/tprr,Wix,CMS / Website builder,https://tproadrunners.wixsite.com/tprr,
University of Manitoba Bisons Varsity,MB,Manitoba,https://gobisons.ca/sports/swimming-and-diving,Sidearm Sports,Sports management,https://gobisons.ca/sports/swimming-and-diving,
University Of Manitoba Bisons Swimming,MB,Manitoba,https://www.bisonswimming.ca,Wix,CMS / Website builder,https://www.bisonswimming.ca/,
Club De Natation Bleu Et Or,NB,New Brunswick,https://www.cnbo.ca,PoolQ,Swim-specific,https://www.cnbo.ca/,
Sackville Swim Club,,,,No Website,No Website,,
RSEQ - Campus Notre-Dame-de-Foy,QC,Quebec,https://www.cndf.qc.ca,WordPress,CMS / Website builder,https://www.cndf.qc.ca/,
RSEQ - Cégep de Sherbrooke,QC,Quebec,https://www.cegepsherbrooke.qc.ca,WordPress,CMS / Website builder,https://cegepsherbrooke.qc.ca/,
Assiniboia Aquarians Swim Club,,,https://assiniboiaaquarians.weebly.com,Weebly,CMS / Website builder,https://assiniboiaaquarians.weebly.com/,
Biggar Barracuda Swim Club,SK,Saskatchewan,,No Website,No Website,,
Shellbrook Silverfins Swim Club,SK,Saskatchewan,,No Website,No Website,,
Alpha Swim Club,MB,Manitoba,https://www.alphaswimclub.com,Wix,CMS / Website builder,https://www.alphaswimclub.com/,
Swan Hills Sharks Swim Club,AB,Alberta,,No Website,No Website,,
Fast Eddies Masters,AB,Alberta,https://sites.google.com/view/fast-eddies-swim-club?usp=sharing,Google Sites,CMS / Website builder,https://sites.google.com/view/fast-eddies-swim-club?usp=sharing,
Scarborough Swim Club,ON,Ontario,https://scarswimming.ca,Unknown / Custom,Unknown / Custom,https://www.scarswimming.ca/,
Rocket Swim Club,ON,Ontario,https://rocketswim.com,WordPress,CMS / Website builder,https://rocketswim.com/,
London Silver Dolphins Masters,ON,Ontario,https://www.londonsilverdolphins.ca/page/home,GoMotion,Swim-specific,https://www.londonsilverdolphins.ca/page/home,
Dragon Swim Club,MB,Manitoba,https://www.gomotionapp.com/team/dragonsc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/dragonsc/page/home,
Digby Dolphins,NS,Nova Scotia,,No Website,No Website,,
CREE Mistissini Aquatics Swim Team,QC,Quebec,,No Website,No Website,,
CNAM Club de natation de la Minganie,QC,Quebec,,No Website,No Website,,
CALAU Club Aquatique des Laurentides,QC,Quebec,,No Website,No Website,,
CAM Club Aquatique Malépart,QC,Quebec,https://ccjcm.ca,Amilia,Swim-specific,https://corporationcentrejeanclaudemalepart.com,
Blue Sharks Swim Club,ON,Ontario,https://www.gomotionapp.com/team/bssc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/bssc/page/home,
Torpedoes Swimming,ON,Ontario,,No Website,No Website,,
Port Hawkesbury Antigonish Swim Team AA,NS,Nova Scotia,https://www.gomotionapp.com/team/canphast/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canphast/page/home,
Swordfish Sprint Club,BC,British Columbia,,No Website,No Website,,
CNPS Club de natation Phoénix Saguenay,QC,Quebec,,No Website,No Website,,
RSEQ - Cégep de Rivière-du-Loup,QC,Quebec,https://www.cegeprdl.ca/etudiants-actuels/vie-sportive/les-portageurs,University / Institution,University / Institution,https://www.cegeprdl.ca/etudiants-actuels/vie-sportive/les-portageurs,
RSEQ - Cégep de Carleton-sur-Mer,QC,Quebec,https://cegepgim.ca,WordPress,CMS / Website builder,https://cegepgim.ca/,
RSEQ - UQAR Université de Rimouski,QC,Quebec,,No Website,No Website,,
Vegreville Lasers Swim Club,AB,Alberta,,No Website,No Website,,
MSAG Club des maitres nageurs du Saguenay,,,,No Website,No Website,,
County Dolphins Swim Club,ON,Ontario,,No Website,No Website,,
